CID,#PrimaryAssays,AssayPromiscuity_Primary,APP %,TargetPromiscuity_Primary,TPP %,#ConfirmatoryAssays,AssayPromiscuity_Confirmatory,APC %,TargetPromiscuity_Confirmatory,TPC %,PhenolCount,[ PercentRanks (PR's) follow ]  ------>,PR APP,PR TPP,PR APC,PR TPC
15945060,229,39,17.00%,27,11.80%,68,21,30.90%,20,29.40%,15,,99.2%,99.4%,99.4%,99.7%
15944801,388,55,14.20%,38,9.80%,106,27,25.50%,23,21.70%,9,,98.6%,99.0%,98.8%,98.9%
65064,155,14,9.00%,8,5.20%,84,13,15.50%,13,15.50%,8,,96.7%,96.3%,96.0%,97.3%
23641096,145,5,3.40%,4,2.80%,40,3,7.50%,3,7.50%,7,,88.1%,92.3%,88.6%,90.7%
3503,162,33,20.40%,15,9.30%,150,66,44.00%,52,34.70%,6,,99.7%,98.8%,99.9%,99.9%
53277,339,55,16.20%,40,11.80%,93,39,41.90%,35,37.60%,6,,98.9%,99.4%,99.9%,99.9%
160115,389,64,16.50%,49,12.60%,94,36,38.30%,31,33.00%,6,,99.0%,99.6%,99.8%,99.8%
227456,313,57,18.20%,39,12.50%,48,21,43.80%,18,37.50%,6,,99.3%,99.6%,99.9%,99.9%
5281600,452,30,6.60%,19,4.20%,111,14,12.60%,11,9.90%,6,,95.3%,95.2%,94.2%,93.9%
5281609,241,9,3.70%,7,2.90%,65,1,1.50%,1,1.50%,6,,89.6%,92.7%,62.5%,63.9%
10414856,344,26,7.60%,16,4.70%,99,18,18.20%,15,15.20%,6,,96.0%,95.8%,97.1%,97.2%
13941113,201,4,2.00%,3,1.50%,60,2,3.30%,2,3.30%,6,,79.5%,82.6%,76.5%,79.0%
44144307,280,9,3.20%,6,2.10%,70,6,8.60%,5,7.10%,6,,87.1%,88.4%,90.4%,90.0%
96506,365,33,9.00%,24,6.60%,117,36,30.80%,30,25.60%,5,,96.7%,97.6%,99.4%,99.5%
394845,453,11,2.40%,8,1.80%,101,2,2.00%,2,2.00%,5,,82.7%,86.1%,68.5%,70.5%
5281672,340,50,14.70%,33,9.70%,182,60,33.00%,44,24.20%,5,,98.6%,98.9%,99.5%,99.3%
5281673,464,20,4.30%,16,3.40%,103,14,13.60%,12,11.70%,5,,91.4%,94.0%,94.6%,95.2%
5352000,323,9,2.80%,6,1.90%,97,8,8.20%,7,7.20%,5,,85.3%,86.9%,89.7%,90.3%
4534,246,27,11.00%,16,6.50%,102,29,28.40%,24,23.50%,4,,97.6%,97.5%,99.2%,99.1%
4788,383,10,2.60%,6,1.60%,203,20,9.90%,18,8.90%,4,,84.0%,84.0%,92.0%,92.7%
